0verflow,Developer,Tokyo,Tokyo,Japan
17-Bit,Developer,Kyoto,Kyoto,Japan
5pb.Games (MAGES),Developer,Tokyo,Tokyo,Japan
A Jolly Corpse,Developer,Tokyo,Tokyo,Japan
Acquire,Developer,Tokyo,Tokyo,Japan
ACQUIRE Corporation,Developer,Tokyo,Tokyo,Japan
Aiming,Developer,Tokyo,Tokyo,Japan
Ancient Corporation,Developer,Tokyo,Tokyo,Japan
Arika,Developer,Tokyo,Tokyo,Japan
Arkadium,Developer,New York City,New York,United States
Art Co,Developer,Tokyo,Tokyo,Japan
Artdink,Developer,Tokyo,Tokyo,Japan
Avalanche Studios,Developer,New York City,New York,United States
Banpresto,Developer,Tokyo,Tokyo,Japan
Banpresto,Developer,Tokyo,Tokyo,Japan
Bennett Foddy,Developer,New York City,New York,United States
Big Top Ballet,Developer,New York City,New York,United States
Black Tower Studios,Developer,Tokyo,Tokyo,Japan
Brass Lion Entertainment,Developer,New York City,New York,United States
by Sam Eng,Developer,New York City,New York,United States
Camelot Software Planning,Developer,Tokyo,Tokyo,Japan
Collision Studios,Developer,New York City,New York,United States
COLOPL,Developer,Tokyo,Tokyo,Japan
Comcept,Developer,Tokyo,Tokyo,Japan
CyberConnect2,Developer,Tokyo,Tokyo,Japan
Deadpixel.co,Developer,New York City,New York,United States
Defiant Studios,Developer,New York City,New York,United States
Degica Games,Developer,Tokyo,Tokyo,Japan
Digital Continue,Developer,New York City,New York,United States
DIGITAL WORKS Entertainment,Developer,Tokyo,Tokyo,Japan
Downwell,Developer,Tokyo,Tokyo,Japan
DrivenArts,Developer,New York City,New York,United States
Ecole Software Corporation,Developer,Tokyo,Tokyo,Japan
Edelweiss,Developer,Tokyo,Tokyo,Japan
Eighting,Developer,Tokyo,Tokyo,Japan
Endless Entertainment,Developer,New York City,New York,United States
Endless Fluff Games,Developer,New York City,New York,United States
Enhance,Developer,Tokyo,Tokyo,Japan
Fabraz,Developer,New York City,New York,United States
Feral Cat Den,Developer,New York City,New York,United States
Fourth Dimension Games,Developer,New York City,New York,United States
Friend & Foe,Developer,Tokyo,Tokyo,Japan
From Software,Developer,Tokyo,Tokyo,Japan
FuRyu,Developer,Tokyo,Tokyo,Japan
G.Rev,Developer,Tokyo,Tokyo,Japan
Game Arts,Developer,Tokyo,Tokyo,Japan
Game Freak,Developer,Tokyo,Tokyo,Japan
Gemdrops,Developer,Tokyo,Tokyo,Japan
GenDesign,Developer,Tokyo,Tokyo,Japan
Genki,Developer,Tokyo,Tokyo,Japan
gloops (Nexon),Developer,Tokyo,Tokyo,Japan
Glowup Games,Developer,New York City,New York,United States
Goodnight Games,Developer,New York City,New York,United States
Grasshopper Manufacture,Developer,Tokyo,Tokyo,Japan
